company_name,company_tier,source_name,source_url,source_type,source_bucket,source_domain,official_domain,official_domain_confidence,source_quality_score,is_official_hint,structure_hint,discovery_method,verification_status,failure_count,last_success_at,last_active_job_count,quarantine_reason,is_quarantined
엑시콘,중견/중소,엑시콘 공식 채용,https://exicon.co.kr/kr/recruit/talent.php,html_page,approved,exicon.co.kr,exicon.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
엑시콘,중견/중소,엑시콘 공식 채용,https://exicon.co.kr/kr/recruit/recruit.php,html_page,approved,exicon.co.kr,exicon.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
엔비티,중견/중소,엔비티 공식 채용,https://nbt.com/jobs,html_page,approved,nbt.com,nbt.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
엘오티베큠,중견/중소,엘오티베큠 공식 채용,https://lotvacuum.com/talent/management.php,html_page,approved,lotvacuum.com,lotvacuum.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
엔피,중견/중소,엔피 공식 채용,https://npinc.co.kr/recruit.php,html_page,approved,npinc.co.kr,npinc.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
에이직랜드,중견/중소,에이직랜드 공식 채용,https://www.asicland.com/talents,html_page,approved,www.asicland.com,asicland.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T15:04:01+09:00,0.0,,False
에이직랜드,중견/중소,에이직랜드 공식 채용,https://www.asicland.com/careers,html_page,approved,www.asicland.com,asicland.com,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
엠투아이,중견/중소,엠투아이 공식 채용,https://m2i.co.kr/recruit/jobs2.php,html_page,approved,m2i.co.kr,m2i.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
엠투아이,중견/중소,엠투아이 공식 채용,https://m2i.co.kr/recruit/jobs.php,html_page,approved,m2i.co.kr,m2i.co.kr,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T13:57:53+09:00,0.0,,False
오리누 주식회사,중견/중소,오리누 주식회사 공식 채용,https://orinu.org/career,html_page,approved,orinu.org,orinu.org,0.99,0.75,True,html,homepage_link_probe,성공,0.0,2026-04-12T14:39:19+09:00,0.0,,False
